feature,random_forest,xgboost
Wet Bulb Temperature_24h_mean,0.6666896340720911,0.5435833
wet_bulb_humidity_ratio_24h_mean,0.007713268994554652,0.10353728
wet_bulb_humidity_interaction_24h_mean,0.08166308667836684,0.08619528
wet_bulb_humidity_ratio,0.11784051467964092,0.07212722
Solar Radiation,0.0002471047436087062,0.043153737
Wet Bulb Temperature,0.05395888051253463,0.034517877
Station Name_Foster Weather Station,0.02443608848039338,0.027598979
wet_bulb_humidity_interaction,0.018424490578678485,0.024659544
month,0.009962804284978881,0.019073417
solar_category_night_time,5.85426767053574e-06,0.0077323453
humidity_category_slightly_humid,0.0009197532902264838,0.007358279
rain_difference_24h_mean,0.002244094805817624,0.0053604003
solar_totalrain_interaction_24h_mean,0.004407795459107393,0.0053596017
Total Rain,0.0016749461840157595,0.0040920028
humidity_category_very_humid,0.00018649152314234168,0.0031246734
solar_pressure_ratio,0.00037360723382098593,0.002613909
hour,0.0004073086109376717,0.0023854089
humidity_category_humid,6.222382746764625e-05,0.0020988672
solar_humidity_interaction,0.004208099048111153,0.0017537373
solar_wind_interaction,0.0002682632091257794,0.0013999601
solar_totalrain_interaction,0.00015346540211216625,0.00090891746
wind_speed_category_very_slow,3.268056255446112e-05,0.00074929046
day_of_week,0.00018839742916867058,0.00061474077
Station Name_Oak Street Weather Station,0.00013022700614822842,1.2892739e-06
Total Rain_24h_mean,0.002165247443640602,0.0
rain_difference,0.0016356716720849166,0.0
